"Experimental_Loop_PLUS_Pause","Letter_Control_Condition","Letter_Experimental_Condition","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","condition","condition1","condition2","coordinates","coroutines_cycles","coroutines_duration","coroutines_mean_cycle_duration","correct","correct_KBR_Control","correct_KBR_Control_1","correct_KBR_Experimental","correct_KBR_Experimental_2","correct_response_Control","correct_response_Experimental","count_Blank_Control","count_Blank_Control_1","count_Blank_Experimental","count_Blank_Experimental_2","count_Block_sequence","count_Block_sequence_1","count_Counterbalance","count_End_of_Experiment","count_End_of_Practice","count_Experimental_Loop","count_Experimental_Loop_with_Pause","count_Experimental_PLUS_Pause_Sequence","count_Instructions","count_Instructions_Control_Condition","count_Instructions_Control_Condition_1","count_Instructions_Experimental_Condition","count_Instructions_Experimental_Condition_1","count_KBR_Control","count_KBR_Control_1","count_KBR_Experimental","count_KBR_Experimental_2","count_Letter_Control_Condition","count_Letter_Control_Condition_1","count_Letter_Experimental_Condition_2","count_Letter_Experimental_Condition_2_2","count_Pause_1","count_PracticeLoop","count_Trial_Loop_Control_Condition_Experimental_Phase_1","count_Trial_Loop_Control_Condition_Practice_Phase","count_Trial_Loop_Experimental_Condition_Experimental_Phase","count_Trial_Loop_Experimental_Condition_Practice_Phase","count_Trial_sequence_Control","count_Trial_sequence_Control_1","count_Trial_sequence_Experimental","count_Trial_sequence_Experimental_2","count_coroutines_Control","count_experiment","count_logger_1","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","keyboard_backend","live_row","live_row_PracticeLoop","live_row_Trial_Loop_Control_Condition_Practice_Phase","logfile","mouse_backend","opensesame_codename","opensesame_version","practice","repeat_cycle","response","response_KBR_Control","response_KBR_Control_1","response_KBR_Experimental","response_KBR_Experimental_2","response_time","response_time_KBR_Control","response_time_KBR_Control_1","response_time_KBR_Experimental","response_time_KBR_Experimental_2","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Blank_Control","time_Blank_Control_1","time_Blank_Experimental","time_Blank_Experimental_2","time_Block_sequence","time_Block_sequence_1","time_Counterbalance","time_End_of_Experiment","time_End_of_Practice","time_Experimental_Loop","time_Experimental_Loop_with_Pause","time_Experimental_PLUS_Pause_Sequence","time_Instructions","time_Instructions_Control_Condition","time_Instructions_Control_Condition_1","time_Instructions_Experimental_Condition","time_Instructions_Experimental_Condition_1","time_KBR_Control","time_KBR_Control_1","time_KBR_Experimental","time_KBR_Experimental_2","time_Letter_Control_Condition","time_Letter_Control_Condition_1","time_Letter_Experimental_Condition_2","time_Letter_Experimental_Condition_2_2","time_Pause_1","time_PracticeLoop","time_Trial_Loop_Control_Condition_Experimental_Phase_1","time_Trial_Loop_Control_Condition_Practice_Phase","time_Trial_Loop_Experimental_Condition_Experimental_Phase","time_Trial_Loop_Experimental_Condition_Practice_Phase","time_Trial_sequence_Control","time_Trial_sequence_Control_1","time_Trial_sequence_Experimental","time_Trial_sequence_Experimental_2","time_experiment","time_logger_1","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"","K","X","72.3684210526","72.3684210526","1012.89473684","1012.89473684","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","114495","2000","0.0174680117036","0","1","0","0","1","m","None","4","76","4","64","1","10","0","0","0","0","0","0","0","1","10","1","10","4","76","4","64","4","76","4","64","0","0","10","1","10","1","4","76","4","64","4","0","151","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","11","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","None","m","None","1998","543","1998","1159","1999","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","347713","25416","321360","14290","322410","1219","NA","26435","38118","28063","28117","1219","2098","322412","14291","294018","12237","346714","24416","320360","12237","346714","24416","320360","28118","2059","324407","4093","296013","16286","12223","346700","24401","320346","1218","348712","Go No-go Task","110","153960","152","yes","1024"
"","L","X","71.8954248366","71.8954248366","1019.32679739","1019.32679739","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","113766","2000","0.017579944799","0","1","0","0","1","m","None","4","77","4","64","1","10","0","0","0","0","0","0","0","1","10","1","10","4","77","4","64","4","77","4","64","0","0","10","1","10","1","4","77","4","64","4","0","152","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","12","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","None","m","None","1997","543","1997","1159","1999","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","349739","25416","321360","14290","322410","1219","NA","26435","38118","28063","28117","1219","2098","322412","14291","294018","12237","348740","24416","320360","12237","348740","24416","320360","28118","2059","324407","4093","296013","16286","12223","348725","24401","320346","1218","350738","Go No-go Task","110","155957","153","yes","1024"
"","L","K","71.4285714286","71.4285714286","1025.68831169","1025.68831169","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","116826","2000","0.0171194768288","0","1","0","0","0","m","m","4","77","4","65","1","11","0","0","0","0","0","0","0","1","11","1","11","4","77","4","65","4","77","4","65","0","0","11","1","11","1","4","77","4","65","4","0","153","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","0","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","None","m","None","1999","543","1997","1159","1999","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","349739","25416","353803","14290","350791","1219","NA","26435","38118","28063","28117","1219","2098","322412","14291","350792","12237","348740","24416","352803","12237","348740","24416","352803","28118","2059","324407","4093","352787","16286","12223","348725","24401","352788","1218","354802","Go No-go Task","110","157956","154","yes","1024"
"","L","X","71.6129032258","71.6129032258","1031.96129032","1031.96129032","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","115286","2000","0.0173481602276","1","1","0","0","1","m","None","4","77","4","66","1","11","0","0","0","0","0","0","0","1","11","1","11","4","77","4","66","4","77","4","66","0","0","11","1","11","1","4","77","4","66","4","0","154","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","1","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","None","m","None","1998","543","1997","1159","1998","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","349739","25416","355829","14290","350791","1219","NA","26435","38118","28063","28117","1219","2098","322412","14291","350792","12237","348740","24416","354829","12237","348740","24416","354829","28118","2059","324407","4093","352787","16286","12223","348725","24401","354815","1218","356828","Go No-go Task","111","159954","155","yes","1024"
"","L","X","71.7948717949","71.7948717949","1038.15384615","1038.15384615","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","113358","2000","0.0176432188288","1","1","0","0","1","m","None","4","77","4","67","1","11","0","0","0","0","0","0","0","1","11","1","11","4","77","4","67","4","77","4","67","0","0","11","1","11","1","4","77","4","67","4","0","155","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","2","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","None","m","None","1998","543","1997","1159","1998","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","349739","25416","357856","14290","350791","1219","NA","26435","38118","28063","28117","1219","2098","322412","14291","350792","12237","348740","24416","356857","12237","348740","24416","356857","28118","2059","324407","4093","352787","16286","12223","348725","24401","356842","1218","358855","Go No-go Task","112","161952","156","yes","1024"
"","L","X","71.974522293","71.974522293","1044.2611465","1044.2611465","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","113406","2000","0.0176357511948","1","1","0","0","1","m","None","4","77","4","68","1","11","0","0","0","0","0","0","0","1","11","1","11","4","77","4","68","4","77","4","68","0","0","11","1","11","1","4","77","4","68","4","0","156","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","3","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","None","m","None","1997","543","1997","1159","1997","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","349739","25416","359883","14290","350791","1219","NA","26435","38118","28063","28117","1219","2098","322412","14291","350792","12237","348740","24416","358884","12237","348740","24416","358884","28118","2059","324407","4093","352787","16286","12223","348725","24401","358869","1218","360886","Go No-go Task","113","163949","157","yes","1024"
"","L","G","71.5189873418","71.5189873418","1050.29746835","1050.29746835","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","119102","2000","0.016792329264","0","1","0","0","0","m","m","4","77","4","69","1","11","0","0","0","0","0","0","0","1","11","1","11","4","77","4","69","4","77","4","69","0","0","11","1","11","1","4","77","4","69","4","0","157","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","4","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","None","m","None","1998","543","1997","1159","1998","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","349739","25416","361914","14290","350791","1219","NA","26435","38118","28063","28117","1219","2098","322412","14291","350792","12237","348740","24416","360914","12237","348740","24416","360914","28118","2059","324407","4093","352787","16286","12223","348725","24401","360899","1218","362913","Go No-go Task","113","165947","158","yes","1024"
"","L","D","71.0691823899","71.0691823899","1056.26415094","1056.26415094","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","114985","2000","0.0173935730747","0","1","0","0","0","m","m","4","77","4","70","1","11","0","0","0","0","0","0","0","1","11","1","11","4","77","4","70","4","77","4","70","0","0","11","1","11","1","4","77","4","70","4","0","158","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","5","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","None","m","None","1999","543","1997","1159","1999","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","349739","25416","363945","14290","350791","1219","NA","26435","38118","28063","28117","1219","2098","322412","14291","350792","12237","348740","24416","362945","12237","348740","24416","362945","28118","2059","324407","4093","352787","16286","12223","348725","24401","362927","1218","364944","Go No-go Task","113","167946","159","yes","1024"
"","L","J","70.625","70.625","1062.15625","1062.15625","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","114587","2000","0.017453986927","0","1","0","0","0","m","m","4","77","4","71","1","11","0","0","0","0","0","0","0","1","11","1","11","4","77","4","71","4","77","4","71","0","0","11","1","11","1","4","77","4","71","4","0","159","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","6","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","None","m","None","1999","543","1997","1159","1999","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","349739","25416","365972","14290","350791","1219","NA","26435","38118","28063","28117","1219","2098","322412","14291","350792","12237","348740","24416","364972","12237","348740","24416","364972","28118","2059","324407","4093","352787","16286","12223","348725","24401","364957","1218","366972","Go No-go Task","113","169945","160","yes","1024"
"","L","W","70.1863354037","70.1863354037","1067.9689441","1067.9689441","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","115872","2000","0.0172604252969","0","1","0","0","0","m","m","4","77","4","72","1","11","0","0","0","0","0","0","0","1","11","1","11","4","77","4","72","4","77","4","72","0","0","11","1","11","1","4","77","4","72","4","0","160","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","7","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","None","m","None","1998","543","1997","1159","1998","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","349739","25416","367999","14290","350791","1219","NA","26435","38118","28063","28117","1219","2098","322412","14291","350792","12237","348740","24416","367000","12237","348740","24416","367000","28118","2059","324407","4093","352787","16286","12223","348725","24401","366985","1218","368998","Go No-go Task","113","171943","161","yes","1024"
"","L","X","70.3703703704","70.3703703704","1073.7037037","1073.7037037","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","115854","2000","0.017263107014","1","1","0","0","1","m","None","4","77","4","73","1","11","0","0","0","0","0","0","0","1","11","1","11","4","77","4","73","4","77","4","73","0","0","11","1","11","1","4","77","4","73","4","0","161","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","8","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","None","m","None","1997","543","1997","1159","1997","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","349739","25416","370025","14290","350791","1219","NA","26435","38118","28063","28117","1219","2098","322412","14291","350792","12237","348740","24416","369026","12237","348740","24416","369026","28118","2059","324407","4093","352787","16286","12223","348725","24401","369011","1218","371024","Go No-go Task","114","173940","162","yes","1024"
"","L","X","70.5521472393","70.5521472393","1079.37423313","1079.37423313","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","113391","2000","0.0176380841513","1","1","0","0","1","m","None","4","77","4","74","1","11","0","0","0","0","0","0","0","1","11","1","11","4","77","4","74","4","77","4","74","0","0","11","1","11","1","4","77","4","74","4","0","162","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","9","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","None","m","None","1998","543","1997","1159","1998","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","349739","25416","372052","14290","350791","1219","NA","26435","38118","28063","28117","1219","2098","322412","14291","350792","12237","348740","24416","371053","12237","348740","24416","371053","28118","2059","324407","4093","352787","16286","12223","348725","24401","371038","1218","373051","Go No-go Task","115","175938","163","yes","1024"
"","L","X","70.7317073171","70.7317073171","1084.97560976","1084.97560976","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","116376","2000","0.0171856740221","1","1","0","0","1","m","None","4","77","4","75","1","11","0","0","0","0","0","0","0","1","11","1","11","4","77","4","75","4","77","4","75","0","0","11","1","11","1","4","77","4","75","4","0","163","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","10","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","None","m","None","1998","543","1997","1159","1998","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","349739","25416","374079","14290","350791","1219","NA","26435","38118","28063","28117","1219","2098","322412","14291","350792","12237","348740","24416","373079","12237","348740","24416","373079","28118","2059","324407","4093","352787","16286","12223","348725","24401","373065","1218","375078","Go No-go Task","116","177936","164","yes","1024"
"","L","Y","70.303030303","70.303030303","1090.5030303","1090.5030303","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","116210","2000","0.0172102228724","0","1","0","0","0","m","m","4","77","4","76","1","11","0","0","0","0","0","0","0","1","11","1","11","4","77","4","76","4","77","4","76","0","0","11","1","11","1","4","77","4","76","4","0","164","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","11","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","None","m","None","1997","543","1997","1159","1997","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","349739","25416","376104","14290","350791","1219","NA","26435","38118","28063","28117","1219","2098","322412","14291","350792","12237","348740","24416","375105","12237","348740","24416","375105","28118","2059","324407","4093","352787","16286","12223","348725","24401","375090","1218","377103","Go No-go Task","116","179933","165","yes","1024"
"","L","I","69.8795180723","69.8795180723","1095.96385542","1095.96385542","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","117141","2000","0.0170734414082","0","1","0","0","0","m","m","4","77","4","77","1","11","0","0","0","0","0","0","0","1","11","1","11","4","77","4","77","4","77","4","77","0","0","11","1","11","1","4","77","4","77","4","0","165","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","12","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","None","m","None","1997","543","1997","1159","1997","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","349739","25416","378164","14290","350791","1219","NA","26435","38118","28063","28117","1219","2098","322412","14291","350792","12237","348740","24416","377165","12237","348740","24416","377165","28118","2059","324407","4093","352787","16286","12223","348725","24401","377147","1218","379163","Go No-go Task","116","181930","166","yes","1024"
